run_date,strategy,symbols,start,end,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,worst_month_pct,worst_month_dd_pct,sharpe,sortino,calmar,trades,win_rate_pct,avg_exposure_pct,benchmark,benchmark_return_pct
2026-08-27,ATR Breakout,QQQ,2012-01-03,2026-08-26,31263.40,56.32,3.10,-8.51,-2.34,-3.20,0.74,1.02,0.36,68,50.0,23.5,QQQ,1315.46
2026-08-27,Golden Cross,SPY,2010-01-04,2026-08-26,41708.45,317.08,8.96,-33.72,-12.49,-28.32,0.68,0.94,0.27,8,75.0,80.0,SPY,805.76
2026-08-27,Monthly Momentum,AAPL AMZN GOOGL META MSFT NVDA,2015-01-02,2026-08-26,201177.56,704.71,19.61,-25.46,-12.80,-16.26,1.04,1.52,0.77,139,46.8,65.9,SPY,351.46
2026-08-27,RSI Dip Buyer,IWM QQQ SPY,2012-01-03,2026-08-26,13939.87,39.40,2.29,-17.90,-7.97,-9.07,0.44,0.62,0.13,367,70.8,11.6,SPY,673.37
2026-08-28,ATR Breakout,QQQ,2012-01-03,2026-08-27,31263.42,56.32,3.10,-8.51,-2.34,-3.20,0.74,1.02,0.36,68,50.0,23.5,QQQ,1334.84
2026-08-28,Golden Cross,SPY,2010-01-04,2026-08-27,41981.71,319.82,9.00,-33.72,-12.49,-28.32,0.69,0.95,0.27,8,75.0,80.0,SPY,811.70
2026-08-28,Monthly Momentum,AAPL AMZN GOOGL META MSFT NVDA,2015-01-02,2026-08-27,201621.81,706.49,19.63,-25.46,-12.80,-16.26,1.04,1.52,0.77,139,46.8,65.9,SPY,354.42
2026-08-28,RSI Dip Buyer,IWM QQQ SPY,2012-01-03,2026-08-27,14002.94,40.03,2.33,-17.90,-7.97,-9.07,0.45,0.63,0.13,367,70.8,11.6,SPY,678.44
2026-08-29,ATR Breakout,QQQ,2012-01-03,2026-08-28,31263.50,56.32,3.10,-8.51,-2.34,-3.20,0.74,1.02,0.36,68,50.0,23.5,QQQ,1325.52
2026-08-29,Golden Cross,SPY,2010-01-04,2026-08-28,41886.43,318.86,8.99,-33.72,-12.49,-28.32,0.69,0.95,0.27,8,75.0,80.0,SPY,809.63
2026-08-29,Monthly Momentum,AAPL AMZN GOOGL META MSFT NVDA,2015-01-02,2026-08-28,205166.83,720.67,19.80,-25.46,-12.80,-16.26,1.05,1.54,0.78,139,46.8,65.9,SPY,353.39
2026-08-29,RSI Dip Buyer,IWM QQQ SPY,2012-01-03,2026-08-28,13994.16,39.94,2.32,-17.90,-7.97,-9.07,0.45,0.63,0.13,367,70.8,11.6,SPY,676.67
2026-08-30,ATR Breakout,QQQ,2012-01-03,2026-08-28,31579.07,57.90,3.17,-7.58,-2.34,-3.20,0.75,1.04,0.42,67,50.7,23.6,QQQ,1325.52
2026-08-30,Golden Cross,SPY,2010-01-04,2026-08-28,41886.47,318.86,8.99,-33.72,-12.49,-28.32,0.69,0.95,0.27,8,75.0,80.0,SPY,809.63
2026-08-30,Monthly Momentum,AAPL AMZN GOOGL META MSFT NVDA,2015-01-02,2026-08-28,205166.91,720.67,19.80,-25.46,-12.80,-16.26,1.05,1.54,0.78,139,46.8,65.9,SPY,353.39
2026-08-30,RSI Dip Buyer,IWM QQQ SPY,2012-01-03,2026-08-28,13994.07,39.94,2.32,-17.90,-7.97,-9.07,0.45,0.63,0.13,367,70.8,11.6,SPY,676.67
